smiles,expt,calc,atoms,bonds,charges
CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625,"c3,n,c3,c,o,ca,ca,ca,ca,ca,ca,os,c3,h1,h1,h1,h1,h1,h1,ha,ha,ha,ha,h1,h1,h1","1-2,1-14,1-15,1-16,2-3,2-4,3-17,3-18,3-19,4-5,4-6,6-7,6-11,7-8,7-20,8-9,8-21,9-10,9-12,10-11,10-22,11-23,12-13,13-24,13-25,13-26","0.080800,-0.481800,0.080800,0.676698,-0.603100,-0.170600,-0.059500,-0.189500,0.143100,-0.189500,-0.059500,-0.323900,0.112700,0.042367,0.042367,0.042367,0.042367,0.042367,0.042367,0.146500,0.148000,0.148000,0.146500,0.046700,0.046700,0.046700"
CS(=O)(=O)Cl,-4.87,-6.219,"c3,s6,o,o,cl,h1,h1,h1","1-2,1-6,1-7,1-8,2-3,2-4,2-5","-0.390300,1.359701,-0.581800,-0.581800,-0.225900,0.140033,0.140033,0.140033"
CC(C)C=C,1.83,2.452,"c3,c3,c3,c2,c2,hc,hc,hc,hc,hc,hc,hc,ha,ha,ha","1-2,1-6,1-7,1-8,2-3,2-4,2-9,3-10,3-11,3-12,4-5,4-13,5-14,5-15","-0.087100,-0.040500,-0.087100,-0.160200,-0.223000,0.034700,0.034700,0.034700,0.049700,0.034700,0.034700,0.034700,0.119000,0.110500,0.110500"
CCc1cnccn1,-5.45,-5.809,"c3,c3,ca,ca,nb,ca,ca,nb,hc,hc,hc,hc,hc,h4,h4,h4","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-8,4-5,4-14,5-6,6-7,6-15,7-8,7-16","-0.090100,-0.125700,0.301300,0.277900,-0.627000,0.272900,0.285900,-0.632999,0.042033,0.042033,0.042033,0.055700,0.055700,0.033100,0.034100,0.033100"
CCCCCCCO,-4.21,-2.917,"c3,c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,h1,h1,ho","1-2,1-9,1-10,1-11,2-3,2-12,2-13,3-4,3-14,3-15,4-5,4-16,4-17,5-6,5-18,5-19,6-7,6-20,6-21,7-8,7-22,7-23,8-24","-0.093100,-0.080400,-0.078400,-0.080400,-0.079400,-0.123400,0.127400,-0.598800,0.032700,0.032700,0.032700,0.038700,0.038700,0.039700,0.039700,0.041200,0.041200,0.038200,0.038200,0.053700,0.053700,0.044200,0.044200,0.397000"
Cc1cc(cc(c1)O)C,-6.27,-5.444,"c3,ca,ca,ca,ca,ca,ca,oh,c3,hc,hc,hc,ha,ha,ha,ho,hc,hc,hc","1-2,1-10,1-11,1-12,2-3,2-7,3-4,3-13,4-5,4-9,5-6,5-14,6-7,6-8,7-15,8-16,9-17,9-18,9-19","-0.056800,-0.037800,-0.164000,-0.037800,-0.192500,0.130100,-0.192500,-0.499102,-0.056800,0.045867,0.045867,0.045867,0.133000,0.140500,0.140500,0.418000,0.045867,0.045867,0.045867"
CC(C)C(C)C,2.34,2.468,"c3,c3,c3,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-7,1-8,1-9,2-3,2-4,2-10,3-11,3-12,3-13,4-5,4-6,4-14,5-15,5-16,5-17,6-18,6-19,6-20","-0.091101,-0.063700,-0.091101,-0.063700,-0.091101,-0.091101,0.033367,0.033367,0.033367,0.045700,0.033367,0.033367,0.033367,0.045700,0.033367,0.033367,0.033367,0.033367,0.033367,0.033367"
CCCC(C)(C)O,-3.92,-2.779,"c3,c3,c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,ho","1-2,1-8,1-9,1-10,2-3,2-11,2-12,3-4,3-13,3-14,4-5,4-6,4-7,5-15,5-16,5-17,6-18,6-19,6-20,7-21","-0.093100,-0.072400,-0.065400,0.150800,-0.123600,-0.123600,-0.597797,0.037033,0.037033,0.037033,0.034700,0.034700,0.048700,0.048700,0.042033,0.042033,0.042033,0.042033,0.042033,0.042033,0.395000"
C[C@@H]1CCCC[C@@H]1C,1.58,1.685,"c3,c6,c6,c6,c6,c6,c6,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc","1-2,1-9,1-10,1-11,2-3,2-7,2-12,3-4,3-13,3-14,4-5,4-15,4-16,5-6,5-17,5-18,6-7,6-19,6-20,7-8,7-21,8-22,8-23,8-24","-0.089101,-0.058700,-0.072400,-0.075400,-0.075400,-0.072400,-0.058700,-0.089101,0.033367,0.033367,0.033367,0.042700,0.038450,0.038450,0.037950,0.037950,0.037950,0.037950,0.038450,0.038450,0.042700,0.033367,0.033367,0.033367"
CC[C@H](C)O,-4.62,-3.145,"c3,c3,c3,c3,oh,hc,hc,hc,hc,hc,h1,hc,hc,hc,ho","1-2,1-6,1-7,1-8,2-3,2-9,2-10,3-4,3-5,3-11,4-12,4-13,4-14,5-15","-0.090100,-0.115400,0.135100,-0.127100,-0.597800,0.035033,0.035033,0.035033,0.046700,0.046700,0.074700,0.042367,0.042367,0.042367,0.395000"
